workflow,url,gold_answer,n_workers_total,n_attempts_total,n_repeated_worker_votes,n_conflicted_workers,n_valid_votes,n_correct,n_incorrect,correct_share,incorrect_share,repeat_worker_share,conflict_worker_share,yes_count,yes_share,no_count,no_share,not_working_count,not_working_share,eligible_by_n,is_difficult,is_ambiguous,is_conflicted_repeats,flag
REGION_MARKUP,https://secbuy.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://sedobnye-bukety.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://seikoclub.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://sekretoria.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://sep-tic.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://sesderma.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://sestroretsk-arms.ru,not_working,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,1,1.0,False,False,False,False,ok
REGION_MARKUP,https://sevengood.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://sevenstore.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://sever-derevo.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://severflowers.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
